Form,Text-body,Gallery,Table-text,Figure-text,Headers-text,Listed-text,Listed-title,Figure-legend,Figure-title,Form-figure,Form-small,Table-title,Mixed,Neither,FILE,SIZE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTX192601320,1
2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CTX192901243,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CTX193000229,3
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTX193102237,9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTX194003463,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CTX194004617,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTX194103705,3
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CTX194300428,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CTX194401342,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CTX194501522,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CTX194600790,1
17,4,17,10,7,1,2,0,0,0,1,0,1,0,0,CTX194604301,60
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CTX195105285,2
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CTX195204980,1
1,7,0,2,2,1,1,0,0,1,0,0,0,0,0,CTX195600870,15
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CTX195802521,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,CTX197003412,2
0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,CTX197904722,3
1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,CTX198402735,4
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CTX198701686,1
4,11,0,4,1,0,0,1,0,0,0,1,2,0,1,CTX198702238A,25
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,CTX198804439,3
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CTX199400067,2
2,20,0,8,2,0,18,15,1,1,0,2,0,0,0,CTX199400067A,69
13,14,3,48,5,0,0,0,0,1,0,2,1,0,0,CTX199706756,87
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,CTX200404964,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CTX200508690,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CTX200605716,2
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,CTX200903109,3
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CTX200904273,2
7,1,6,1,0,0,0,0,2,1,0,0,0,0,0,CTX201404755,18
